Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.17476
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.11694
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.26404
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.22912
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.25398
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.27336
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.28384
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.22353
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.23512
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.22755
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.22086
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.3003
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.28945
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.25344
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.18392
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.18471
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF121,T,2025-03-21T00:00:00,2023,,0.18208
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39789
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39351
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.3787
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.3831
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39208
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39048
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39903
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39843
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.38963
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.40116
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.41442
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.42095
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.43017
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.43992
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.45365
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.45278
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.44014
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.42099
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.41222
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.40779
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.40973
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.40623
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.40552
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF122,T,2025-03-21T00:00:00,2023,,0.39409
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.15728
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16074
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.15999
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16366
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17114
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16942
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.15991
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16661
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16413
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.1686
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17184
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17181
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17393
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17153
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.1731
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.17223
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16782
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16469
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.16249
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.15126
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.1406
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.14831
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.14124
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF13,T,2025-03-21T00:00:00,2023,,0.13132
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00386
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00442
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00447
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00497
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00408
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.0043
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00484
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00465
