Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2013,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.1439
2014,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.14825
2015,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.13775
2016,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.13769
2017,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.13413
2018,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.13864
2019,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.11455
2020,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.11461
2021,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.10912
2022,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.19845
2023,TM_TAX_DPRF,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.19842
2000,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.54173
2005,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.30646
2010,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.04409
2011,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.04409
2012,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03405
2013,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03415
2014,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03415
2015,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.02112
2016,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.02112
2017,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.02109
2018,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.02109
2019,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03389
2020,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03397
2021,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03151
2022,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03154
2023,TM_TAX_DPRF,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",0.03146
2000,TM_TAX_DPRF,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",9.71486
