Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2010,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6862.4
2011,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6686.8
2012,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6536.3
2013,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6407.9
2014,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6314.2
2015,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6256.4
2016,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6222.6
2017,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6211.8
2018,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6232.3
2019,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6281.6
2020,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6369.4
2021,SH_STA_STNTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,7790.1,6039.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",6494.6
