Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,6136.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,2602.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,2512.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,2105.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,3593.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C724,None,T,2024-05-16T00:00:00,2010-2022,Spain,3176.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,862.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,1036.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,2402.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,2426.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,2655.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C760,None,T,2024-05-16T00:00:00,2010-2022,Syrian Arab Republic,3007.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,45545.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,38597.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,29721.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,30133.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,26267.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C788,None,T,2024-05-16T00:00:00,2010-2022,Tunisia,24746.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,233.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,355.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,653.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,695.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,868.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C792,None,T,2024-05-16T00:00:00,2010-2022,Turkey,1048.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,21775.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,29356.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,34309.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,35473.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,40225.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C818,None,T,2024-05-16T00:00:00,2010-2022,Egypt,41921.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,238557.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_EXP,12,None,None,T,2024-05-16T00:00:00,2010-2022,,249527.0
