Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2009,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",203107.0
2010,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",194184.0
2011,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",186600.0
2012,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",178923.0
2013,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",171394.0
2014,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",166131.0
2015,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",162934.0
2016,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",160164.0
2017,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",157885.0
2018,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",156271.0
2019,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",155616.0
2020,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",154134.0
2021,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",151579.0
2022,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",148430.0
2023,SH_DYN_IMRTN,231,None,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",145121.0
2000,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117451.0
2001,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",114504.0
2002,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",111375.0
2003,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",107576.0
2004,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",103682.0
2005,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",100025.0
2006,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",96047.0
2007,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",91734.0
2008,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",87526.0
2009,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",83346.0
2010,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",79492.0
2011,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",76285.0
2012,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",73073.0
2013,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",69960.0
2014,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",67883.0
2015,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",66655.0
2016,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",65610.0
2017,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",64721.0
2018,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",64074.0
2019,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",63865.0
2020,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",63375.0
2021,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",62220.0
2022,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",61026.0
2023,SH_DYN_IMRTN,231,F,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",59715.0
2000,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",159541.0
2001,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",156263.0
2002,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",152795.0
2003,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",148589.0
2004,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",144266.0
2005,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",140380.0
2006,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",135669.0
2007,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",130458.0
2008,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",125269.0
2009,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",119761.0
2010,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",114692.0
2011,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",110315.0
2012,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",105850.0
2013,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",101434.0
2014,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",98248.0
2015,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",96279.0
2016,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",94554.0
2017,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",93164.0
2018,SH_DYN_IMRTN,231,M,Y0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",92197.0
